NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s034,9,16,137.253491,137.25349,32527,16000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s035,9,16,142.303732,142.303732,26065,16000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s043,9,17,132.529632,141.790322,36738,16000,false,false,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s042,9,16,223.983707,223.983707,32582,15000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s098,9,17,133.826781,133.826782,17209,15000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s099,9,16,134.820816,134.820817,34834,15000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s077,9,15,136.020703,136.020703,67233,17000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s076,9,16,181.004308,181.004308,47994,16000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s001,9,16,179.578367,179.578367,39122,15000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s092,9,16,135.133342,135.133341,33141,16000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s093,9,15,233.10019,233.10019,69712,17000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s049,9,16,217.713075,217.713075,63766,17000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s048,9,15,135.863773,135.863774,62701,19000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s023,9,17,149.452968,149.452968,72940,17000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s022,9,16,186.973247,187.013247,63690,15000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s054,9,16,137.307229,137.307229,81120,16000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s055,9,16,192.070673,192.070674,45891,16000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s060,9,16,151.509529,151.509529,72516,17000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s061,9,16,173.32431,173.32431,54018,16000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s029,9,16,139.9194,139.919401,66543,17000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s028,9,17,175.632195,175.632193,45665,16000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s085,9,15,143.512108,143.552109,43839,16000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s084,9,15,182.199466,182.199467,55211,16000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s017,9,17,136.779013,136.779014,33475,16000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s016,9,15,215.215163,215.215163,78309,17000,false,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s024,9,16,185.859464,185.859466,84768,16000,true,true,,,,
xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s025,9,15,173.062013,173.102012,39058,17000,false,true,,,,
