NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s034"	9	16	137.253491	176.763893	32527	43000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s035"	9	16	142.303732	174.040301	26065	43000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s043"	9	17	132.529632	141.790322	36738	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s042"	9	16	223.983707	223.983707	32582	43000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s098"	9	17	133.826781	167.611363	17209	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s099"	9	16	134.820816	134.820817	34834	47000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s077"	9	15	136.020703	136.020703	67233	44000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s076"	9	16	181.004308	181.004308	47994	47000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s001"	9	16	179.578367	206.117016	39122	44000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s092"	9	16	135.133342	154.005504	33141	42000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s093"	9	15	233.100190	250.947710	69712	60000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s049"	9	16	217.713075	217.713075	63766	43000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s048"	9	15	135.863773	155.212888	62701	44000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s023"	9	17	149.452968	173.364437	72940	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s022"	9	16	186.973247	186.973247	63690	44000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s054"	9	16	137.307229	139.650161	81120	44000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s055"	9	16	192.070673	233.691521	45891	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s060"	9	16	151.509529	170.575707	72516	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s061"	9	16	173.324310	185.899413	54018	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s029"	9	16	139.919400	161.498120	66543	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s028"	9	17	175.632195	175.632193	45665	47000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s085"	9	15	143.512108	159.067131	43839	43000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s084"	9	15	182.199466	182.199467	55211	48000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s017"	9	17	136.779013	183.032465	33475	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s016"	9	15	215.215163	215.215163	78309	45000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s024"	9	16	185.859464	201.820061	84768	44000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s025"	9	15	173.062013	173.102012	39058	46000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s088"	9	15	140.960128	140.960128	22866	47000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s089"	9	16	159.220434	204.949716	61655	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s053"	9	16	160.173213	160.173214	63239	48000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s052"	9	17	120.470004	160.412369	51848	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s067"	9	16	143.767401	143.767402	58596	43000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s066"	9	16	114.233899	180.960034	30536	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s059"	9	16	136.850502	139.544152	32183	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s058"	9	16	133.390727	144.732563	67383	44000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s010"	9	18	129.310830	151.431480	33091	44000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s011"	9	18	105.103758	127.932580	34975	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s082"	9	17	122.181823	122.181823	16936	48000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s083"	9	16	207.313800	237.623037	60517	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s033"	9	16	209.541010	209.541009	41022	42000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s032"	9	17	153.096352	153.096353	125516	48000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s044"	9	16	163.723682	177.473569	36007	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s045"	9	16	150.561233	150.953802	82187	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s039"	9	18	142.113048	142.113048	17690	48000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s038"	9	16	211.707900	228.897619	55290	43000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s070"	9	16	161.751492	161.751491	28588	48000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s071"	9	16	198.198363	198.198363	53159	49000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s095"	9	17	151.352685	170.376580	70921	46000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s094"	9	16	154.897087	154.897087	43978	45000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s007"	9	16	120.752530	168.785898	45290	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s006"	9	16	145.071625	170.767647	44491	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s063"	9	16	159.559690	159.559689	52714	47000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s062"	9	16	202.865791	202.865791	40091	43000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s086"	9	16	131.555593	145.203243	59524	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s087"	9	15	128.218084	148.560309	33868	48000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s014"	9	17	161.161337	161.161336	46791	42000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s015"	9	16	193.837790	218.111603	69000	43000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s020"	9	16	186.054305	186.054306	58046	44000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s021"	9	17	168.917316	171.525169	36544	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s069"	9	15	132.475952	132.475952	65212	43000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s068"	9	15	170.623410	170.623410	55586	43000	false	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s057"	9	16	107.838620	107.838620	17226	48000	true	true
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s056"	9	17	139.304090	167.776166	54128	47000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s074"	9	16	131.923037	150.596592	25176	49000	false	false
"xc7s25 t09 e013 r0.1 R0.5 d10.0 D50.0 s075"	9	17	140.164746	166.422523	34896	45000	false	false
