NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s034,11,18,162.241267,162.241267,575477,49000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s035,11,19,144.262022,188.616927,440397,45000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s043,11,17,182.672727,201.217159,106338,48000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s042,11,19,185.978283,229.039325,1337984,43000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s098,11,19,135.158809,162.362361,2640156,44000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s099,11,18,152.62227,207.13533,158468,45000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s077,11,18,140.937669,202.790408,1048969,44000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s076,11,19,113.411053,156.869375,280766,45000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s001,11,16,206.447489,281.314145,552903,49000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s092,11,17,143.716259,165.397599,517231,49000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s093,11,19,159.255034,159.255034,591043,44000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s049,11,18,173.986457,199.457606,171660,46000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s048,11,17,176.680107,196.029221,697959,48000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s023,11,18,161.1938,193.193128,1416611,46000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s022,11,18,188.727613,188.727612,657110,47000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s054,11,19,152.161491,168.901896,198486,50000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s055,11,20,169.647806,233.731521,473800,49000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s060,11,17,191.811364,236.594311,258599,50000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s061,11,20,164.833713,164.833713,1264448,46000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s029,11,16,139.965547,139.965548,5022576,44000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s028,11,17,178.514886,218.813399,249689,48000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s085,11,18,156.978026,181.419049,274859,49000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s084,11,18,126.923137,128.123326,366041,42000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s017,11,19,165.258415,214.920738,676818,50000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s016,11,20,132.052597,154.641095,994702,46000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s024,11,20,164.915237,192.203763,187624,49000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s025,11,19,129.224204,138.26445,2813894,48000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s088,11,19,121.798463,148.465434,238932,43000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s089,11,20,157.14727,185.448876,7077210,49000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s053,11,18,144.778665,205.417357,235197,44000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s052,11,18,144.207456,185.9109,3127077,44000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s067,11,18,145.538493,148.328594,375060,44000,false,false,,,
