NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s034,11,18,162.241267,162.281267,575477,21000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s035,11,19,144.262022,144.302023,440397,21000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s043,11,17,182.672727,182.712727,106338,20000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s042,11,19,185.978283,235.214492,1337984,20000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s098,11,19,135.158809,135.158809,2640156,22000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s099,11,18,152.62227,223.646073,158468,21000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s077,11,18,140.937669,140.937669,1048969,20000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s076,11,19,113.411053,139.589775,280766,20000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s001,11,16,206.447489,215.639068,552903,20000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s092,11,17,143.716259,144.960028,517231,21000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s093,11,19,159.255034,159.255034,591043,19000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s049,11,18,173.986457,177.370641,171660,23000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s048,11,17,176.680107,176.680107,697959,24000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s023,11,18,161.1938,161.208258,1416611,24000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s022,11,18,188.727613,190.355106,657110,23000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s054,11,19,152.161491,152.200938,198486,24000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s055,11,20,169.647806,169.647806,473800,17000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s060,11,17,191.811364,191.851364,258599,22000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s061,11,20,164.833713,165.308971,1264448,21000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s029,11,16,139.965547,143.816889,5022576,21000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s028,11,17,178.514886,178.514886,249689,22000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s085,11,18,156.978026,156.978026,274859,23000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s084,11,18,126.923137,126.923137,366041,19000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s017,11,19,165.258415,165.866464,676818,22000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s016,11,20,132.052597,132.136254,994702,21000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s024,11,20,164.915237,164.915238,187624,19000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s025,11,19,129.224204,138.26445,2813894,25000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s088,11,19,121.798463,136.858997,238932,25000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s089,11,20,157.14727,183.748688,7077210,22000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s053,11,18,144.778665,154.408976,235197,26000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s052,11,18,144.207456,154.898944,3127077,21000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s067,11,18,145.538493,145.538494,375060,26000,true,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s066,11,17,204.104478,204.104479,1026857,22000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s059,11,19,145.568889,150.242324,582945,19000,false,false,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s058,11,18,157.127157,157.167156,244072,20000,false,true,,,
xc7s25 t11 e013 r0.1 R0.5 d10.0 D50.0 s010,11,19,140.312885,140.312885,275684,23000,true,true,,,
