NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s034,13,20,192.042051,192.042051,7810802,36000,true,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s035,13,21,142.687086,146.861565,199184907,32000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s043,13,23,156.531448,156.531449,143397406,37000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s042,13,19,200.424226,200.424225,19850732,32000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s098,13,20,153.787655,153.787655,86253226,32000,true,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s099,13,21,169.759924,182.014404,122832560,26000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s077,13,18,124.265758,125.176466,141088603,31000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s076,13,23,139.507016,139.507016,409103752,31000,true,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s001,13,20,185.475545,227.776242,7634350,30000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s092,13,21,177.412365,177.412364,630174502,28000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s093,13,17,250.633722,250.633722,19112461,30000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s049,13,20,177.410641,184.409623,36687676,31000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s048,13,19,214.738608,214.778608,24330054,27000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s023,13,21,187.054546,187.054546,148039757,29000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s022,13,20,196.156898,239.06766,370105939,30000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s054,13,22,136.076348,147.750413,176627756,30000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s055,13,21,171.374937,175.849233,11642038,29000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s060,13,23,149.754094,149.754094,32427096,31000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s061,13,22,179.745717,238.231723,553017075,34000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s029,13,21,136.723398,186.9716,1176375302,34000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s028,13,18,235.936063,235.976063,21864918,28000,false,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s085,13,19,172.255486,172.255486,14487358,27000,true,true,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s084,13,21,168.823274,199.980992,36544814,30000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s017,13,22,171.504932,260.8292,1301559592,44000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s016,13,21,157.982708,175.727931,28677998,36000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s024,13,21,161.190822,161.190823,2395770859,27000,false,true,,,
