NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s034,7,10,111.702461,111.70246,2238,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s035,7,11,96.608844,96.608844,8718,12000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s043,7,11,118.755144,118.755145,12842,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s042,7,10,142.641572,142.641573,6356,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s098,7,10,116.056204,116.056205,13393,13000,false,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s099,7,10,141.133923,141.133922,11586,14000,false,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s077,7,10,100.624249,100.62425,2816,14000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s076,7,10,106.884266,106.884266,3073,12000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s001,7,10,115.612822,122.769456,15561,13000,false,false,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s092,7,11,106.186916,106.186916,2908,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s093,7,10,190.08151,190.08151,7977,12000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s049,7,10,195.36924,195.36924,9160,13000,false,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s048,7,10,128.448528,128.44853,7839,13000,false,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s023,7,10,153.324276,153.324276,7768,15000,false,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s022,7,10,166.518734,166.518733,5298,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s054,7,10,125.919793,125.919794,2929,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s055,7,10,155.270997,155.270998,6997,12000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s060,7,11,157.386105,157.386105,5372,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s061,7,11,147.9976,147.9976,6878,12000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s029,7,11,105.266977,105.266977,4616,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s028,7,11,134.863573,134.863572,6501,12000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s085,7,11,66.664575,66.664576,3017,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s084,7,10,171.943682,171.943682,3492,13000,true,true,,,,
xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s017,7,10,118.634212,118.634213,7913,13000,false,true,,,,
