NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s034"	7	10	111.702461	111.702460	2238	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s035"	7	11	96.608844	105.884545	8718	43000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s043"	7	11	118.755144	134.084569	12842	48000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s042"	7	10	142.641572	176.846471	6356	42000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s098"	7	10	116.056204	116.056205	13393	46000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s099"	7	10	141.133923	141.133922	11586	43000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s077"	7	10	100.624249	100.624250	2816	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s076"	7	10	106.884266	106.884266	3073	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s001"	7	10	115.612822	122.769456	15561	43000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s092"	7	11	106.186916	106.186916	2908	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s093"	7	10	190.081510	190.081510	7977	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s049"	7	10	195.369240	195.369240	9160	44000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s048"	7	10	128.448528	128.448530	7839	43000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s023"	7	10	153.324276	153.324276	7768	41000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s022"	7	10	166.518734	166.518733	5298	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s054"	7	10	125.919793	125.919794	2929	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s055"	7	10	155.270997	169.549616	6997	47000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s060"	7	11	157.386105	157.386105	5372	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s061"	7	11	147.997600	164.203493	6878	47000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s029"	7	11	105.266977	105.266977	4616	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s028"	7	11	134.863573	134.863572	6501	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s085"	7	11	66.664575	66.664576	3017	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s084"	7	10	171.943682	194.637674	3492	42000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s017"	7	10	118.634212	118.634213	7913	42000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s016"	7	10	157.434874	157.434874	8923	47000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s024"	7	10	146.887540	146.887541	10026	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s025"	7	11	113.133439	138.038772	8735	42000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s088"	7	11	95.287290	95.287290	4191	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s089"	7	11	112.268296	140.569902	5853	45000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s053"	7	11	118.810193	118.810194	6547	45000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s052"	7	11	91.429768	110.507801	4728	46000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s067"	7	11	107.469590	107.469590	5356	42000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s066"	7	10	133.689099	133.689101	13382	46000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s059"	7	11	124.437501	128.792762	10878	43000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s058"	7	10	141.625737	141.625736	6166	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s010"	7	10	128.733886	128.733886	5460	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s011"	7	11	129.609929	129.609929	3635	41000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s082"	7	10	136.846406	136.846406	6362	41000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s083"	7	10	199.148993	199.148994	5201	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s033"	7	10	150.137115	169.691729	9862	45000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s032"	7	10	130.527907	130.527908	11023	42000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s044"	7	11	146.283530	163.536417	7181	42000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s045"	7	11	107.786539	107.786539	5922	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s039"	7	11	108.586720	108.586720	2892	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s038"	7	11	149.703215	149.703216	8644	42000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s070"	7	11	124.350840	124.350840	3653	44000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s071"	7	11	147.814133	147.814133	6988	44000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s095"	7	10	124.706221	124.706222	9365	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s094"	7	11	106.579539	107.600976	7276	46000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s007"	7	12	85.604623	85.604624	5107	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s006"	7	11	127.458243	127.458242	5608	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s063"	7	11	96.409441	163.467378	6254	44000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s062"	7	10	123.195025	154.148583	7972	46000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s086"	7	11	128.186740	128.186740	4211	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s087"	7	10	129.972592	129.972592	7810	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s014"	7	11	103.660942	103.660942	5845	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s015"	7	10	162.872497	162.872498	9898	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s020"	7	10	113.162302	113.162302	7132	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s021"	7	10	163.287948	163.287948	8309	48000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s069"	7	11	76.319002	76.319002	8249	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s068"	7	11	97.256420	133.934139	6554	43000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s057"	7	12	61.935597	61.935597	2230	44000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s056"	7	10	146.424670	146.424670	7569	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s074"	7	11	141.843572	141.843573	7517	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s075"	7	10	138.261915	138.261915	7195	45000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s003"	7	10	160.386044	160.386044	5609	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s002"	7	10	105.952271	143.548717	12013	43000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s091"	7	11	110.175519	110.175519	5924	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s090"	7	10	158.670505	158.670505	8211	42000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s037"	7	11	132.954791	149.754739	10600	44000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s036"	7	11	140.981257	140.981257	7429	44000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s040"	7	10	156.659518	156.659519	6851	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s041"	7	11	123.881714	142.596267	6893	48000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s100"	7	10	156.367357	156.367356	4032	44000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s009"	7	10	164.308367	164.308367	6484	48000	false	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s008"	7	10	154.974500	154.974500	5494	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s073"	7	11	143.586882	143.586882	10939	47000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s072"	7	10	155.373999	155.373998	9467	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s096"	7	10	109.317365	109.317364	6108	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s097"	7	11	70.581503	86.027200	5543	46000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s004"	7	10	205.452913	205.452914	7983	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s005"	7	11	119.892966	119.892966	4079	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s079"	7	10	120.296047	136.492831	3628	47000	false	false
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s078"	7	10	91.708691	91.708692	6894	46000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s030"	7	11	109.494060	109.494060	7362	43000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s031"	7	10	196.629992	196.629993	5778	42000	true	true
"xc7s25 t07 e008 r0.1 R0.5 d10.0 D50.0 s047"	7	10	122.700452	151.607914	4126	46000	false	false
