NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s001,14,22,196.290368,264.551675,329228941,45000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s007,14,23,153.580715,173.273376,1749563875,46000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s006,14,22,150.031005,188.225627,7489410,46000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s003,14,23,190.589101,194.393844,528367038,49000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s002,14,24,181.007523,192.487477,140542865,47000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s004,14,23,205.822666,255.315951,1293304975,50000,false,false,,,
xc7s25 t14 e013 r0.1 R0.5 d10.0 D50.0 s005,14,22,182.912997,220.797241,10480169,45000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s001,14,23,196.290368,264.551675,12036751,47000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s007,14,24,154.511672,173.273376,2298481334,45000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s006,14,23,150.031005,188.225627,7517341,49000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s003,14,24,194.393845,194.393844,769152906,51000,true,true,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s002,14,24,181.007523,195.370798,118214594,49000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s004,14,24,205.822666,255.315951,2086322322,46000,false,false,,,
xc7s25 t14 e014 r0.1 R0.5 d10.0 D50.0 s005,14,22,201.213623,258.798151,2797711249,45000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s001,14,28,205.202368,258.875213,3527070,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s022,14,29,226.559348,264.511556,140159107,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s017,14,28,187.064381,256.254438,524138075,46000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s016,14,27,232.714599,277.552636,197351082,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s010,14,28,217.532166,239.193485,44886371,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s011,14,28,180.689061,208.461686,18367997,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s007,14,29,154.511672,181.950715,255892384,46000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s006,14,28,163.306556,259.901494,15378437,46000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s014,14,26,215.834725,281.134217,26313990,48000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s015,14,28,187.038215,224.500691,434167469,49000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s020,14,27,273.209495,303.613176,61568978,45000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s021,14,28,183.216814,234.456063,69665840,44000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s003,14,28,211.141604,224.570799,23955361,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s002,14,30,203.444984,249.509028,25903515,51000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s009,14,27,191.301509,250.834312,670083067,47000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s008,14,30,184.596529,229.492184,3452311498,48000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s004,14,27,259.201687,266.302514,19203885,50000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s005,14,29,201.213623,272.87544,34314419,47000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s013,14,27,171.941358,202.731051,14229186,49000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s012,14,26,190.080538,215.039526,35515632,49000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s019,14,28,249.668581,335.633668,421155238,46000,false,false,,,
xc7s25 t14 e022 r0.1 R0.5 d10.0 D50.0 s018,14,28,165.37558,189.200236,49204158,47000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s034,14,30,176.235055,217.165272,40905670,51000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s035,14,31,150.663559,209.650502,25484797,50000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s043,14,31,199.058921,214.459969,1369320510,46000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s042,14,29,273.710256,340.962085,33553805,45000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s098,14,31,199.327435,246.407034,32866880,51000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s099,14,30,202.120873,263.383105,28678831,52000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s077,14,28,175.136651,229.618456,74369278,49000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s076,14,30,192.707882,226.704396,270234719,45000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s001,14,30,240.932596,287.555187,8948524,49000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s092,14,29,204.379046,209.818333,14217124,46000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s093,14,30,298.619051,350.231736,76172955,46000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s049,14,29,312.638153,334.803205,6398250,46000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s048,14,31,197.239885,217.087139,133099944,50000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s023,14,32,224.808884,301.24984,1500025394,50000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s022,14,31,226.559348,267.584849,28141852,51000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s054,14,30,215.53669,243.150889,324012204,51000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s055,14,31,202.147514,305.282639,23571849,46000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s060,14,30,194.098369,244.879258,5341643,45000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s061,14,32,199.787491,221.452543,355684227,48000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s029,14,30,189.384713,233.075025,702311620,48000,false,false,,,
