NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t15 e013 r0.1 R0.5 d10.0 D50.0 s001,15,24,179.195549,245.782452,817307267,50000,false,false,,,
xc7s25 t15 e014 r0.1 R0.5 d10.0 D50.0 s001,15,25,179.195549,245.782452,110547007,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s001,15,28,222.963835,273.829983,45083496,51000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s023,15,28,221.672519,271.007034,412372540,50000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s022,15,26,254.91608,302.309396,26447314,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s028,15,28,225.978263,241.669843,127197133,48000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s017,15,28,215.400842,265.438094,3059674797,45000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s016,15,29,181.906666,242.334693,732293916,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s024,15,28,225.021533,242.884621,2679048842,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s025,15,27,194.624492,280.526643,12565029,52000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s010,15,28,217.616692,282.888114,39588003,45000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s011,15,29,180.73742,221.303504,2147358405,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s007,15,28,224.185385,256.017854,810715461,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s006,15,29,176.442979,242.419946,24077083,47000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s014,15,28,225.107735,292.426196,2455042026,45000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s015,15,31,206.811471,226.778895,368827671,44000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s020,15,28,204.944435,270.964831,119493773,47000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s021,15,28,231.170855,313.315818,41380395,46000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s003,15,31,231.763814,277.257969,2006764244,46000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s002,15,31,207.659664,273.790536,280913518,50000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s009,15,29,190.89132,260.259631,35435302,44000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s008,15,29,206.378902,314.547836,1582206031,51000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s004,15,30,225.327975,254.556142,2392476978,45000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s005,15,27,199.068712,231.555979,408918483,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s013,15,30,221.984635,264.333007,150007587,49000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s012,15,29,193.804193,256.717662,909187662,50000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s027,15,28,226.643589,270.757911,420271993,50000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s026,15,29,195.087611,286.070673,17905622,45000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s019,15,30,245.840371,295.343182,164389543,50000,false,false,,,
xc7s25 t15 e022 r0.1 R0.5 d10.0 D50.0 s018,15,29,177.344579,223.834632,1711085492,49000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s001,15,30,239.217713,301.737062,207470255,51000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s023,15,31,221.672519,258.427072,473542625,47000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s022,15,29,254.91608,302.309396,9112721,49000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s029,15,33,198.927331,230.483428,3907192531,51000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s028,15,31,240.560615,273.270965,54888909,45000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s017,15,31,226.599966,243.048041,1473569738,46000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s016,15,32,181.906666,242.334693,190125482,45000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s024,15,30,225.021533,242.884621,1429295458,47000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s025,15,29,209.20429,280.526643,7159205,51000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s010,15,29,251.391338,356.240702,10216440,50000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s011,15,31,180.73742,247.719941,148761458,49000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s032,15,30,219.967181,266.677201,570455160,47000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s007,15,30,224.185385,256.017854,88541941,49000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s006,15,32,176.442979,242.419946,13264562,44000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s014,15,31,225.107735,311.804117,802211651,50000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s015,15,31,225.273544,252.949716,185098085,51000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s020,15,30,222.482316,238.036258,2612574994,45000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s021,15,30,258.419368,314.182663,1332588516,49000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s003,15,34,231.763814,277.257969,1022797899,50000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s002,15,34,207.659664,261.775106,205240758,45000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s009,15,32,190.89132,260.259631,18421067,50000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s008,15,32,226.844651,260.174439,167872346,47000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s004,15,33,228.079141,254.556142,1251266347,49000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s005,15,30,218.691354,231.555979,2044246992,46000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s030,15,30,191.232358,232.1318,152928963,50000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s031,15,29,232.874418,297.836827,57725077,50000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s013,15,32,221.984635,264.333007,91621796,45000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s012,15,32,214.72135,236.600709,354492365,47000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s027,15,31,226.643589,270.757911,434662574,47000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s026,15,32,227.368614,255.623253,1033681824,46000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s019,15,32,270.14469,341.225567,99071339,51000,false,false,,,
xc7s25 t15 e025 r0.1 R0.5 d10.0 D50.0 s018,15,32,180.600044,223.834632,148489880,48000,false,false,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s034,15,73,354.474791,354.47479,227843990,54000,false,true,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s035,15,73,328.300032,328.300033,120925727,53000,false,true,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s043,15,75,349.733351,360.185466,30791516,53000,false,false,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s042,15,73,437.409035,468.428877,70453896,54000,false,false,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s098,15,73,365.05319,379.419848,101493213,53000,false,false,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s099,15,73,373.860456,373.860456,38486735,50000,true,true,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s077,15,73,279.558557,292.308389,24969220,51000,false,false,,,
xc7s25 t15 e071 r0.1 R0.5 d10.0 D50.0 s076,15,73,352.922124,352.922123,31475376,54000,true,true,,,
