NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s006,6,7,61.4651,61.4651,4291,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s063,6,7,70.971602,70.971602,22876,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s062,6,7,76.080922,76.080922,21237,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s086,6,7,72.695978,72.695979,11277,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s087,6,7,39.925331,39.925331,17105,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s014,6,7,60.258147,60.258147,24868,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s015,6,7,75.641582,75.641583,19201,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s020,6,7,71.452903,71.452903,25482,10000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s021,6,7,76.695536,76.695536,14138,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s069,6,7,43.540105,43.540105,32844,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s068,6,7,60.051618,60.051618,14890,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s057,6,7,48.588278,48.588278,18468,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s056,6,7,79.646118,79.646118,14966,10000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s074,6,7,76.978546,76.978546,30344,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s075,6,7,56.233237,56.233238,22970,10000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s003,6,7,78.813583,78.813582,5605,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s002,6,7,67.85325,67.85325,6676,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s091,6,7,62.010701,62.010701,18692,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s090,6,7,73.867748,73.867748,19950,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s037,6,7,75.796925,75.796924,26072,14000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s036,6,7,76.117603,76.117603,27040,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s040,6,7,54.737879,54.73788,5023,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s041,6,7,67.02413,67.02413,21663,13000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s100,6,7,74.837993,74.837992,24311,13000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s009,6,7,82.612886,82.612886,3928,14000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s008,6,7,86.599746,86.599746,5744,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s073,6,7,60.455352,60.455352,18075,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s072,6,7,95.730542,95.730541,21202,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s096,6,7,41.484038,41.484038,12495,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s097,6,7,38.482678,38.482678,14794,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s004,6,7,91.939718,91.939719,3030,12000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s005,6,7,62.017777,62.017777,4029,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s079,6,7,52.852716,52.852716,13998,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s078,6,7,37.413736,37.413736,16669,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s030,6,7,45.792859,45.792859,19272,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s031,6,7,77.434151,77.434151,18909,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s047,6,7,73.306318,73.306318,17586,11000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s046,6,7,81.825287,81.825287,15942,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s064,6,7,67.865623,67.865623,34337,12000,false,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s065,6,7,78.034469,78.03447,25221,15000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s013,6,7,63.682337,63.682337,19168,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s012,6,7,52.991866,52.991865,10948,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s081,6,7,74.409847,74.409847,21970,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s080,6,7,88.462717,88.462717,11288,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s027,6,7,73.561918,73.561918,22504,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s026,6,7,84.939289,84.939289,37953,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s019,6,7,90.703149,90.70315,20189,13000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s018,6,7,82.299718,82.299718,12114,11000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s050,6,7,80.12675,80.12675,51269,12000,true,true,,,,
xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s051,6,7,65.024175,65.024175,14210,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s034,6,8,134.830029,134.830029,2712,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s035,6,8,105.884545,105.884545,1687,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s043,6,8,106.861026,106.861026,2159,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s042,6,8,148.131668,148.131669,1752,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s098,6,8,103.649375,103.649375,2836,11000,false,true,,,,
