NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s063"	6	7	70.971602	95.509355	22876	44000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s062"	6	7	76.080922	76.080922	21237	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s086"	6	7	72.695978	85.252247	11277	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s087"	6	7	39.925331	60.307556	17105	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s014"	6	7	60.258147	74.016085	24868	47000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s015"	6	7	75.641582	120.136613	19201	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s020"	6	7	71.452903	93.835425	25482	44000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s021"	6	7	76.695536	84.610237	14138	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s069"	6	7	43.540105	48.612618	32844	43000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s068"	6	7	60.051618	60.051618	14890	47000	false	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s057"	6	7	48.588278	58.892759	18468	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s056"	6	7	79.646118	125.809282	14966	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s074"	6	7	76.978546	95.164457	30344	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s075"	6	7	56.233237	77.730303	22970	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s003"	6	7	78.813583	108.691649	5605	44000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s002"	6	7	67.853250	99.032253	6676	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s091"	6	7	62.010701	73.229947	18692	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s090"	6	7	73.867748	73.867748	19950	46000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s037"	6	7	75.796925	75.796924	26072	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s036"	6	7	76.117603	96.951411	27040	44000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s040"	6	7	54.737879	54.737880	5023	41000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s041"	6	7	67.024130	73.258724	21663	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s100"	6	7	74.837993	101.524214	24311	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s009"	6	7	82.612886	82.612886	3928	42000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s008"	6	7	86.599746	123.249215	5744	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s073"	6	7	60.455352	102.611767	18075	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s072"	6	7	95.730542	126.280624	21202	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s096"	6	7	41.484038	52.739007	12495	41000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s097"	6	7	38.482678	38.482678	14794	46000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s004"	6	7	91.939718	122.335054	3030	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s005"	6	7	62.017777	107.173328	4029	41000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s079"	6	7	52.852716	52.852716	13998	42000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s078"	6	7	37.413736	37.413736	16669	47000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s030"	6	7	45.792859	46.338918	19272	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s031"	6	7	77.434151	77.434151	18909	43000	true	true
