NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s034,10,17,118.55353,165.696707,125327,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s035,10,18,137.272738,155.880583,38203,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s043,10,17,168.720978,196.790079,56540,42000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s042,10,17,199.812622,224.844017,85133,42000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s098,10,17,153.244705,194.443035,58274,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s099,10,19,129.025886,151.826079,304909,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s077,10,18,123.295963,147.671111,267727,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s076,10,17,163.684708,178.882836,158511,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s001,10,17,148.681692,155.98357,299493,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s092,10,18,144.26523,164.7028,118559,46000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s093,10,17,209.316202,209.316203,94860,43000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s049,10,15,215.403284,215.403284,81851,47000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s048,10,19,148.371912,148.371913,227508,43000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s023,10,17,149.452968,187.630982,138070,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s022,10,18,195.101964,233.613122,65465,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s054,10,19,138.278503,151.96887,211157,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s055,10,17,211.900436,211.900437,103511,46000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s060,10,15,244.258783,246.777051,81389,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s061,10,17,207.879074,207.879074,210508,47000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s029,10,17,126.727986,147.012892,160235,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s028,10,18,157.361614,223.38668,148390,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s085,10,18,112.94015,114.487114,133221,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s084,10,17,209.206581,222.455299,227665,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s017,10,16,174.368817,183.377001,139476,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s016,10,18,150.61779,165.771639,195022,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s024,10,17,170.77847,236.164318,528245,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s025,10,19,118.887807,133.893382,469124,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s088,10,15,148.532338,148.532339,109663,47000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s089,10,17,163.195174,176.648111,388949,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s053,10,17,166.150902,195.685051,80927,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s052,10,17,158.438928,189.450885,81896,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s067,10,16,140.074302,166.432309,84996,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s066,10,16,166.783941,197.118821,144802,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s059,10,16,140.440148,157.922275,102859,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s058,10,18,105.368106,105.368106,56644,48000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s010,10,18,162.588532,191.733643,45764,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s011,10,16,170.387377,198.200001,44033,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s082,10,16,142.691705,142.691704,126207,46000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s083,10,18,174.691509,209.085569,105853,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s033,10,15,201.710338,256.346664,183481,49000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s032,10,17,178.625856,198.315131,248708,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s044,10,18,149.802764,191.43636,149862,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s045,10,16,169.263982,212.391245,218779,50000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s039,10,19,125.000594,150.252274,268243,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s038,10,18,186.282332,252.073877,142277,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s070,10,16,173.840673,226.429447,118718,47000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s071,10,18,146.480908,146.480909,104409,45000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s095,10,18,143.489327,143.489328,120555,43000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s094,10,17,139.602644,177.051395,150946,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s007,10,20,113.829493,137.125166,557202,49000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s006,10,18,163.228889,164.405643,119717,49000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s063,10,15,203.3894,225.953198,93628,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s062,10,18,171.912233,174.185723,329356,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s086,10,17,162.804718,162.804718,132869,44000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s087,10,16,195.814959,195.814959,117721,49000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s014,10,17,135.631515,203.574872,58753,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s015,10,18,130.920688,192.679833,109113,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s020,10,18,144.16394,153.337846,160440,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s021,10,17,160.468119,169.111273,126507,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s069,10,19,89.262196,102.995803,475472,47000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s068,10,17,145.463995,192.752332,134317,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s057,10,17,106.697922,125.833859,286933,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s056,10,19,132.576351,155.920795,106999,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s074,10,18,127.794459,153.73233,127142,43000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s075,10,17,153.031169,200.459212,74282,45000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s003,10,17,184.823198,202.794781,230668,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s002,10,16,165.644719,170.012005,235112,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s091,10,16,174.910297,221.580724,110255,49000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s090,10,17,199.352419,214.609576,131153,48000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s037,10,18,142.500291,159.340238,195265,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s036,10,18,132.479369,132.479369,286704,48000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s040,10,17,176.631247,193.714583,54738,49000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s041,10,16,190.946673,191.766351,81890,47000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s100,10,17,156.196227,200.958161,87665,47000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s009,10,18,159.529321,160.218776,746276,44000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s008,10,17,193.226984,228.871391,104903,45000,false,false,,,
