NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s034,10,17,118.55353,118.55353,125327,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s035,10,18,137.272738,137.272739,38203,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s043,10,17,168.720978,168.720979,56540,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s042,10,17,199.812622,199.812622,85133,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s098,10,17,153.244705,153.284706,58274,17000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s099,10,19,129.025886,133.672739,304909,21000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s077,10,18,123.295963,123.295962,267727,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s076,10,17,163.684708,163.684708,158511,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s001,10,17,148.681692,148.681692,299493,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s092,10,18,144.26523,144.265229,118559,20000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s093,10,17,209.316202,209.316203,94860,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s049,10,15,215.403284,215.403284,81851,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s048,10,19,148.371912,148.451913,227508,19000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s023,10,17,149.452968,149.452968,138070,21000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s022,10,18,195.101964,195.101963,65465,19000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s054,10,19,138.278503,138.278503,211157,17000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s055,10,17,211.900436,254.211258,103511,15000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s060,10,15,244.258783,244.258782,81389,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s061,10,17,207.879074,207.879074,210508,19000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s029,10,17,126.727986,137.047186,160235,20000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s028,10,18,157.361614,157.361613,148390,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s085,10,18,112.94015,112.94015,133221,19000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s084,10,17,209.206581,209.206581,227665,19000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s017,10,16,174.368817,174.368817,139476,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s016,10,18,150.61779,150.61779,195022,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s024,10,17,170.77847,171.412231,528245,21000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s025,10,19,118.887807,118.887807,469124,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s088,10,15,148.532338,148.532339,109663,20000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s089,10,17,163.195174,163.195175,388949,21000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s053,10,17,166.150902,166.150903,80927,17000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s052,10,17,158.438928,158.438929,81896,16000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s067,10,16,140.074302,140.074302,84996,20000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s066,10,16,166.783941,166.783942,144802,20000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s059,10,16,140.440148,140.440147,102859,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s058,10,18,105.368106,105.368106,56644,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s010,10,18,162.588532,162.588532,45764,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s011,10,16,170.387377,295.742059,44033,17000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s082,10,16,142.691705,227.146848,126207,16000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s083,10,18,174.691509,174.691509,105853,19000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s033,10,15,201.710338,201.710337,183481,17000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s032,10,17,178.625856,178.625857,248708,21000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s044,10,18,149.802764,160.302555,149862,19000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s045,10,16,169.263982,169.263982,218779,19000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s039,10,19,125.000594,125.000594,268243,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s038,10,18,186.282332,186.322333,142277,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s070,10,16,173.840673,173.840672,118718,17000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s071,10,18,146.480908,146.480909,104409,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s095,10,18,143.489327,143.489328,120555,17000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s094,10,17,139.602644,139.602644,150946,22000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s007,10,20,113.829493,117.975742,557202,19000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s006,10,18,163.228889,163.228889,119717,16000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s063,10,15,203.3894,203.3894,93628,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s062,10,18,171.912233,171.912233,329356,20000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s086,10,17,162.804718,162.844718,132869,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s087,10,16,195.814959,195.814959,117721,21000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s014,10,17,135.631515,135.631515,58753,16000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s015,10,18,130.920688,130.920688,109113,19000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s020,10,18,144.16394,144.16394,160440,18000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s021,10,17,160.468119,160.468119,126507,20000,true,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s069,10,19,89.262196,103.035803,475472,21000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s068,10,17,145.463995,148.440942,134317,18000,false,false,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s057,10,17,106.697922,106.697923,286933,20000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s056,10,19,132.576351,132.576351,106999,18000,false,true,,,
xc7s25 t10 e013 r0.1 R0.5 d10.0 D50.0 s074,10,18,127.794459,127.794458,127142,22000,false,true,,,
