NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s034,12,21,143.106628,165.029308,8001239,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s035,12,19,179.744695,190.955129,1902955,50000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s043,12,21,140.097648,184.573551,22074627,43000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s042,12,18,222.322154,247.321932,5474781,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s098,12,18,154.654807,220.93439,3364819,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s099,12,20,168.552009,242.138715,4331529,44000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s077,12,19,139.307832,207.361634,1004808,44000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s076,12,19,149.608974,171.884465,9486898,49000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s001,12,18,205.403726,228.326275,759763,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s092,12,19,147.202318,199.844731,1789964,46000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s093,12,19,177.693731,181.963649,1339125,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s049,12,19,178.460646,194.855504,1958225,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s048,12,20,147.495481,205.699134,1548313,49000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s023,12,18,180.970054,215.690086,12871485,49000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s022,12,22,189.736649,189.736649,1103830,51000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s054,12,19,154.655372,189.57667,494655,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s055,12,18,191.47889,200.576254,849206,49000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s060,12,20,179.953597,215.301886,478531,47000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s061,12,18,169.121274,179.33164,1187683,44000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s029,12,21,137.32293,169.856021,60012032,49000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s028,12,20,157.674693,183.06755,3305742,44000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s085,12,18,130.965771,162.264222,14399745,48000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s084,12,20,212.947322,255.354048,7463723,43000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s017,12,21,160.250189,191.625619,10235469,45000,false,false,,,
