NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s006,12,19,164.445643,164.445643,2160115,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s063,12,21,170.336606,170.336607,5018649,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s062,12,19,207.657263,207.657263,2993244,28000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s086,12,18,161.020768,162.241502,988723,36000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s087,12,19,175.299365,175.299365,1665031,26000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s014,12,20,165.484974,165.484975,2487543,28000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s015,12,20,155.591823,156.749781,6291211,27000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s020,12,21,164.359013,177.356936,8259319,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s021,12,21,153.569759,158.516348,10329873,34000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s069,12,19,113.222499,113.621059,16620323,29000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s068,12,19,151.20375,159.559468,19337958,33000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s057,12,18,126.03105,126.031051,2654191,30000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s056,12,19,153.072512,153.072512,855819,25000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s074,12,20,117.545347,120.330813,1720099,31000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s075,12,19,170.44986,295.484364,742325,27000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s003,12,20,168.366304,183.036476,30387908,36000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s002,12,19,183.412641,183.412641,714041,22000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s091,12,19,215.146982,215.186982,1958090,28000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s090,12,20,187.545721,187.545721,1054744,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s037,12,20,147.604615,195.97445,1316501,26000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s036,12,21,153.878987,153.878987,4167706,30000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s040,12,20,136.075449,150.678159,1510314,31000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s041,12,21,190.854807,194.541654,5971717,27000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s100,12,21,141.766156,158.952723,10004706,37000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s009,12,19,171.723009,189.35747,12645762,24000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s008,12,19,177.105928,177.105928,3203417,27000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s073,12,20,130.833867,130.833868,1023936,26000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s072,12,20,180.560164,194.163898,6976580,30000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s096,12,19,149.801735,161.631126,678757,28000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s097,12,21,136.003618,136.003618,14390177,26000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s004,12,20,206.180517,215.041351,18449458,26000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s005,12,21,170.383487,173.124631,4820994,34000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s079,12,19,139.367735,139.367735,1233982,33000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s078,12,19,127.312979,127.312979,1789184,34000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s030,12,19,171.951633,263.844318,3435115,27000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s031,12,19,179.434295,187.405836,2345724,31000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s047,12,18,178.189896,178.189896,1868763,28000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s046,12,19,187.509735,223.25668,36794842,32000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s064,12,20,124.200952,198.997001,1967615,33000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s065,12,20,183.838555,183.919696,4202513,31000,false,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s013,12,19,161.634003,161.634003,2800930,32000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s012,12,19,145.930281,149.368498,1151136,35000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s081,12,18,207.97848,210.475345,11592699,33000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s080,12,20,184.679882,283.916448,3188732,30000,false,false,,,
